"imdb_score","movie_budget","release_month","duration","maturity_rating","aspect_ratio","nb_news_articles","actor1_star_meter","actor2_star_meter","actor3_star_meter","colour_film","nb_faces","action","adventure","scifi","thriller","musical","romance","western","sport","horror","drama","war","animation","crime","movie_meter_IMDBpro","Plot contains murder","Plot contains love","Plot contains friend","Plot contains death","Plot contains high school","Plot contains police","Plot contains new york city","Plot contains boy","Plot contains drugs","Plot contains school","Plot contains detective","Plot contains fbi","Plot contains friendship","Plot contains money","Plot contains wedding","Plot contains serial killer","Plot contains alien","Plot contains cult film","Plot contains marriage","Plot contains party","Production Company is Universal Pictures","Production Company is Paramount Pictures","Production Company is Columbia Pictures Corporation","Production Company is Warner Bros.","Production Company is New Line Cinema","Production Company is Twentieth Century Fox","Production Company is Metro-Goldwyn-Mayer (MGM)","Production Company is Touchstone Pictures","Production Company is DreamWorks","Production Company is Miramax","Production Company is Lionsgate","Production Company is Fox Searchlight Pictures","Production Company is Walt Disney Pictures","Production Company is Dimension Films","Production Company is Focus Features","Production Company is Fox 2000 Pictures","Production Company is Summit Entertainment","Production Company is Screen Gems","Production Company is Castle Rock Entertainment","Production Company is Revolution Studios"
5.2,25000000,"Mar",104,"R","2.35",235,52,686,3075,"Color",0,1,0,1,0,0,0,0,0,0,0,0,0,0,2418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.6,32000000,"Jul",133,"PG-13","2.35",277,4222,3165,8276,"Color",0,1,1,0,1,0,0,0,0,0,0,0,0,0,3755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.6,55000000,"May",110,"PG-13","2.35",208,3509,5708,5956,"Color",2,1,1,0,0,0,0,1,0,0,0,0,0,0,7137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.6,35000000,"Jul",109,"R","2.35",1777,376,2481,5710,"Color",2,0,0,0,0,0,1,0,0,0,0,0,0,0,2051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7.9,8500000,"Oct",117,"R","2.35",2171,170,15043,87042,"Color",1,0,0,0,1,0,0,0,0,0,1,0,0,1,1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.5,40000000,"Apr",128,"PG-13","2.35",18,413,1401,3971,"Color",0,0,0,0,0,0,0,0,1,0,1,0,0,0,5008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.5,17000000,"Sep",160,"R","2.35",510,2419,6302,162110,"Color",6,0,0,1,1,0,0,0,0,0,0,0,0,0,5133,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.5,30000000,"May",105,"PG","2.35",731,1992,19829,23972,"Color",1,0,0,0,0,0,1,0,0,0,1,0,0,0,4824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5.2,35000000,"Feb",101,"R","2.35",344,5396,2835,4974,"Color",2,0,0,0,0,0,0,0,0,1,1,0,0,0,3238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.3,42000000,"Apr",115,"PG-13","2.35",71,856,1227,5997,"Color",1,0,0,0,1,0,0,0,0,0,1,0,0,1,6369,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.2,25000000,"Jan",108,"R","2.35",2141,264,1798,1501,"Color",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.3,25000000,"Oct",119,"R","2.35",985,4548,2168,5713,"Color",0,0,0,0,1,0,0,0,0,0,1,0,0,1,6084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.5,43000000,"Aug",104,"PG-13","2.35",113,4361,42074,2240,"Black and White",0,0,0,0,1,0,0,0,0,1,0,0,0,0,5324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.4,19000000,"Jan",100,"PG","2.35",797,1227,1707,3718,"Color",2,0,0,0,0,0,1,0,0,0,0,0,0,0,1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.4,20000000,"Feb",102,"PG-13","2.35",399,3960,3324,3742,"Color",2,0,0,0,0,0,0,0,0,0,0,0,0,0,9929,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.7,18500000,"May",118,"R","2.35",858,121,6088,1303,"Color",0,0,1,0,0,0,0,0,0,0,1,0,0,0,1312,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.6,2500000,"Aug",102,"R","2.35",53,24304,5364,4802,"Color",3,0,0,0,0,0,1,0,0,0,1,0,0,0,3104,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.8,50000000,"Sep",129,"R","2.35",410,2985,11273,22256,"Color",1,0,0,0,1,0,0,0,0,0,1,0,0,0,1380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.6,52000000,"Jan",215,"R","2.35",1108,5558,2168,6228,"Color",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7.7,15000000,"Nov",123,"PG-13","2.35",3289,584,1662,7983,"Color",0,0,0,0,0,0,1,0,0,0,1,0,0,0,1607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.8,30000000,"Sep",120,"PG","2.35",450,215,341,2301,"Color",1,0,0,0,0,0,0,0,1,0,1,0,0,0,1387,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.9,49000000,"Mar",120,"R","2.35",1021,336,1315,9550,"Color",0,1,0,1,1,0,0,0,0,0,1,0,0,1,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.3,19800000,"Jan",131,"R","2.35",748,2364,6492,3731,"Color",0,0,0,0,0,0,0,0,0,0,1,0,0,0,2593,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,18000000,"May",123,"PG","2.35",12,2216,4880,545,"Color",0,0,0,0,0,1,1,0,0,0,1,0,0,0,7348,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,850000,"Jan",88,"R","2.35",3,4968,1606,603,"Color",0,0,0,0,0,0,0,0,0,0,0,0,0,0,12383,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.4,20000000,"Sep",107,"R","2.35",22,850,5584,2099,"Color",1,1,1,0,0,0,1,0,0,0,1,0,0,0,21830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.1,30000000,"Feb",134,"PG-13","2.35",225,2566,3006,6630,"Color",0,0,0,0,0,0,0,0,1,0,1,0,0,0,8643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.6,17000000,"Mar",86,"PG-13","2.35",1204,1625,2310,5684,"Color",1,0,0,0,0,0,1,0,0,0,1,0,0,0,2064,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.3,24000000,"Sep",110,"R","2.35",118,856,2850,3619,"Color",4,0,0,0,0,0,0,0,0,0,1,0,0,1,16048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.4,17000000,"Apr",102,"PG","2.35",71,4183,1966,26582,"Color",0,0,1,0,1,0,0,0,0,1,0,0,0,0,12474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.1,25000000,"Mar",115,"R","2.35",139,2653,6475,5396,"Color",1,1,0,0,1,0,0,0,0,0,0,0,0,1,5108,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.6,5500000,"Aug",105,"R","2.35",152,102,16175,3541,"Color",0,0,0,0,0,0,0,1,0,0,0,0,0,0,6069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.1,20000000,"Apr",95,"PG-13","2.35",642,1897,5391,24136,"Color",2,1,1,1,1,0,0,0,0,0,0,0,0,0,5381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.6,45000000,"Aug",107,"PG-13","2.35",281,6289,4676,2383,"Color",5,0,0,0,0,1,1,0,0,0,1,0,0,0,1260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
